Source,Year,Mean,Date,Month,Season,Mean_Normalized
gcag,1877-03,-0.0914,1877-03-01,3,Summer,0.3776387183650838
gcag,1877-04,-0.3459,1877-04-01,4,Summer,0.27684264723355384
gcag,1877-05,-0.4113,1877-05-01,5,Summer,0.2509406313121312
gcag,1877-06,-0.1382,1877-06-01,6,Monsoon,0.3591033308249832
gcag,1877-07,-0.0163,1877-07-01,7,Monsoon,0.4073824705928948
gcag,1877-08,0.2107,1877-08-01,8,Monsoon,0.49728702126816904
gcag,1877-09,0.1076,1877-09-01,9,Post-Monsoon,0.45645372093944314
gcag,1877-10,0.1133,1877-10-01,10,Post-Monsoon,0.45871123608855796
gcag,1877-11,0.034,1877-11-01,11,Post-Monsoon,0.42730405164560975
gcag,1877-12,-0.0556,1877-12-01,12,Winter,0.3918174977226821
gcag,1878-01,-0.0698,1878-01-01,1,Winter,0.386193512614361
gcag,1878-02,0.2294,1878-02-01,2,Winter,0.504693255178423
gcag,1878-03,0.3613,1878-03-01,3,Summer,0.5569329478395184
gcag,1878-04,0.1885,1878-04-01,4,Summer,0.48849459384530086
gcag,1878-05,-0.1224,1878-05-01,5,Summer,0.3653610043962138
gcag,1878-06,0.0103,1878-06-01,6,Monsoon,0.4179175412887639
gcag,1878-07,-0.0772,1878-07-01,7,Monsoon,0.3832627034734049
gcag,1878-08,-0.0466,1878-08-01,8,Monsoon,0.3953819953265476
gcag,1878-09,0.0208,1878-09-01,9,Post-Monsoon,0.422076121826607
gcag,1878-10,-0.165,1878-10-01,10,Post-Monsoon,0.34848904907125033
gcag,1878-11,-0.1426,1878-11-01,11,Post-Monsoon,0.35736068755198225
gcag,1878-12,-0.3226,1878-12-01,12,Winter,0.28607073547467227
gcag,1879-01,-0.2378,1879-01-01,1,Winter,0.31965622400887167
gcag,1879-02,-0.266,1879-02-01,2,Winter,0.3084874648500931
gcag,1879-03,-0.2584,1879-03-01,3,Summer,0.31149748504891284
gcag,1879-04,-0.3824,1879-04-01,4,Summer,0.2623866291734326
gcag,1879-05,-0.3439,1879-05-01,5,Summer,0.2776347578121906
gcag,1879-06,-0.2833,1879-06-01,6,Monsoon,0.30163570834488496
gcag,1879-07,-0.2641,1879-07-01,7,Monsoon,0.309239969899798
gcag,1879-08,-0.2653,1879-08-01,8,Monsoon,0.308764703552616
gcag,1879-09,-0.2356,1879-09-01,9,Post-Monsoon,0.3205275456453721
gcag,1879-10,-0.1591,1879-10-01,10,Post-Monsoon,0.35082577527822884
